Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude
Visit,,green,white,,Philly Free School,,School,"4950 Springfield Ave, Philadelphia, PA 19143",39.9444686,-75.21861922
Visit,,green ,white,,448 N 10th St.,,Street,"448 N 10th St, Philadelphia, PA 19123",39.9607551,-75.15498381
Visit,,green,white,,The Welcoming Center,,Non-profit organization,"211 N 13th St 4th floor, Philadelphia, PA 19107",39.95685798,-75.1602232
Visit,,green ,white,,"Taller Puertorriqueno, Inc",,Arts organization,"2600 N 5th St, Philadelphia, PA 19133",39.992806,-75.1412057
Visit,,green ,white,,Bok,,Makerspace,"1901 S 9th St, Philadelphia, PA 19148",39.92783382,-75.1595829
Visit,,green,white,,CCATE,,School,"1246 W Main St, Norristown, PA 19401",40.12391535,-75.36160329
Visit,,green ,white,,Justice at Work Pennsylvania,,Legal services,"990 Spring Garden St Unit 300, Philadelphia, PA 19123",39.96265647,-75.15403483
Visit,,green,white,,WOAR,,Social services organization,"1617 John F Kennedy Blvd #800, Philadelphia, PA 19103",39.95532717,-75.16710938
Visit,,green ,white,,Arch Street United Methodist Church,,United Methodist church,"55 N Broad St, Philadelphia, PA 19107",39.95472883,-75.16327158
Visit,,green ,white,,Juntos,,Non-profit organization,"600 Washington Ave Unit 18UA, Philadelphia, PA 19147",39.93693661,-75.15513667
Visit,,green,white,,Philly Thrive,,Non-profit organization,"1101 S 27th St, Philadelphia, PA 19146",39.94089967,-75.18780668
Visit,,green ,white,,Cesar Andreu Iglesias Garden,,Garden,"425 Arlington St, Philadelphia, PA 19122",39.98229724,-75.14161734
Visit,,green,white,,40th St.,,Subway station,"Philadelphia, PA 19104",39.95860029,-75.20214166
Visit,,green ,white,,Puentes De Salud,,Non-profit organization,"1700 South St, Philadelphia, PA 19146",39.94627719,-75.1706063
Visit,,green ,white,,New Sanctuary Movement of Philadelphia,,Non-profit organization,"2601 Potter St, Philadelphia, PA 19125",39.99036478,-75.12686331
Visit,,green ,white,,GALAEI,,Gay & lesbian organization,"118 Fontain St, Philadelphia, PA 19122",39.98214436,-75.13475973
Visit,,green ,white,,La Puerta Abierta,,Association / Organization,"2141 N Howard St, Philadelphia, PA 19122",39.98464347,-75.13347227
